Tier,Scenario,Tariff,Import_Value_B,Change_vs_Baseline_%,Tariff_Revenue_B,Economic_Score
high,Baseline (2.5%),2.5,0.043335417981684325,0.0,0.0010833854495421083,0.0010833854495421083
high,Low (5%),5.0,0.04320724468230219,-0.29577030833372275,0.00216036223411511,0.002096275584424042
high,Medium (10%),10.0,0.04296096192633407,-0.8640877895963123,0.004296096192633408,0.004108868164958278
high,High (20%),20.0,0.042504364713387,-1.9177229781158993,0.0085008729426774,0.008085346308528734
high,Actual (20.11%),20.11,0.04249958457351451,-1.928753539479151,0.008546666457733767,0.008128749753648856
high,Severe (35%),35.0,0.041894604575311335,-3.3247940679421912,0.014663111601358966,0.013942704898172467
mid,Baseline (2.5%),2.5,0.24708200158792704,0.0,0.006177050039698176,0.006177050039698176
mid,Low (5%),5.0,0.24700298192655432,-0.0319811483090164,0.012350149096327716,0.012310639265641356
mid,Medium (10%),10.0,0.2468506681564452,-0.09362617673287527,0.024685066815644523,0.0245694000999036
mid,High (20%),20.0,0.24656660086577903,-0.20859500847316462,0.04931332017315582,0.04905561981208181
mid,Actual (20.11%),20.11,0.24656361526951243,-0.2098033507431154,0.04958394303069895,0.04932474987149163
mid,Severe (35%),35.0,0.24618377366645502,-0.3635343390855477,0.08616432078325925,0.08571520682252325
low,Baseline (2.5%),2.5,0.03034671559097208,0.0,0.0007586678897743021,0.0007586678897743021
low,Low (5%),5.0,0.030042971064131854,-1.000914006425745,0.0015021485532065928,0.0013502762897864803
low,Medium (10%),10.0,0.029465170365224662,-2.904911482446129,0.0029465170365224665,0.002505744423648758
low,High (20%),20.0,0.02841411612115562,-6.368397476237576,0.005682823224231124,0.004716523489322893
low,Actual (20.11%),20.11,0.028403250212950797,-6.404203355039355,0.005711893617824405,0.004740160928813763
low,Severe (35%),35.0,0.027050836930728114,-10.860742574805904,0.00946779292575484,0.007819853595632857
