Tier,Scenario,tariff_rate,elasticity_pred,dynamic_pred,ensemble_prediction,Change_vs_Baseline_%
high,Baseline (2.5%),0.025,48714317.00456836,37956518.95880029,43335417.98168433,0.0
high,Low (5%),0.05,48605628.33565344,37808861.02895095,43207244.68230219,-0.29577030833372275
high,Medium (10%),0.1,48396491.71744666,37525432.135221474,42960961.92633407,-0.8640877895963123
high,High (20%),0.2,48007733.63394212,37000995.79283187,42504364.713387,-1.9177229781158993
high,Actual (20.11%),0.2011,48003656.594647415,36995512.55238159,42499584.573514506,-1.928753539479151
high,Severe (35%),0.35,47486460.82075998,36302748.329862684,41894604.57531133,-3.3247940679421912
mid,Baseline (2.5%),0.025,259559833.9562965,234604169.21955758,247082001.58792704,0.0
mid,Low (5%),0.05,259595353.9710243,234410609.88208434,247002981.92655432,-0.0319811483090164
mid,Medium (10%),0.1,259663938.65596175,234037397.6569287,246850668.1564452,-0.09362617673287527
mid,High (20%),0.2,259792268.5968019,233340933.1347562,246566600.86577904,-0.20859500847316462
mid,Actual (20.11%),0.2011,259793620.2735168,233333610.26550803,246563615.26951241,-0.2098033507431154
mid,Severe (35%),0.35,259966083.58572483,232401463.74718526,246183773.66645503,-0.3635343390855477
low,Baseline (2.5%),0.025,29949691.65286173,30743739.529082432,30346715.59097208,0.0
low,Low (5%),0.05,29653613.96627824,30432328.161985476,30042971.064131856,-1.000914006425745
low,Medium (10%),0.1,29090293.723238535,29840047.00721079,29465170.365224663,-2.904911482446129
low,High (20%),0.2,28065223.50528978,28763008.73702146,28414116.12115562,-6.368397476237576
low,Actual (20.11%),0.2011,28054623.77231777,28751876.653583817,28403250.212950796,-6.404203355039355
low,Severe (35%),0.35,26734936.86726898,27366736.994187254,27050836.930728115,-10.860742574805904
