HTS_Number,Trade_Description,Brief_Description,HTS8,Match_Type
1,LIVE ANIMALS,"Livers of bovine animals, frozen",2062200.0,Partial
2,MEAT AND EDIBLE MEAT OFFAL,"Meat and edible meat offal of primates, fresh, chilled or frozen",2083000.0,Partial
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","Extracts and juices of meat, fish, crustaceans, molluscs or other aquatic invertebrates, other than clam juice",16030090.0,Partial
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI",Unknown,,None
5,"PRODUCTS OF ANIMAL ORIGIN, NESOI","Edible products of animal origin, nesi",4100000.0,Partial
6,"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE",Unknown,,None
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,Unknown,,None
8,EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS,"Fruit nesi, and other edible parts of plants nesi, other than pulp and excluding mixtures, otherwise prepared or preserved, nesi",20089990.0,Partial
9,"COFFEE, TEA, MATE AND SPICES",Unknown,,None
10,CEREALS,Pellets of cereals,11032000.0,Partial
11,MILLING INDUSTRY PRODUCTS; MALT; STARCHES; INULIN; WHEAT GLUTEN,Unknown,,None
12,"OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUITS; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER","Other oil seeds and oleaginous fruits whether or not broken, incl niger seeds, hemp seeds and seeds nesoi",12079903.0,Partial
13,LAC; GUMS; RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS,Unknown,,None
14,"VEGETABLE PLAITING MATERIALS AND VEGETABLE PRODUCTS, NESOI","Products nesoi of plaiting materials (not vegetable), bound together in parallel strands or woven, in sheet form, nesoi",46019990.0,Partial
