Year,Country,Trade_Value,Tariff_Rate,Tariff_Revenue_Actual,Trade_Value_Pred,Tariff_Revenue_Pred
2022,Afghanistan,1251843,0.14982456140350878,187556.82842105263,1231033.9379837748,184439.11983125328
2023,Afghanistan,1057191,0.14982456140350878,158393.17789473684,1101310.9760650739,165003.43395781986
2024,Afghanistan,1271428,0.14982456140350878,190491.14245614037,1301684.0739628435,195024.24546741552
2022,Albania,7138843,0.14371621621621622,1025967.5041216216,6090590.108469272,875316.5649131177
2023,Albania,3350897,0.14371621621621622,481578.23777027027,3350667.8690645252,481545.3079392058
2024,Albania,4863775,0.14371621621621622,699003.3395270271,4821014.257111321,692857.9273564717
2022,Algeria,105963986,0.14801724137931035,15684496.893275863,92508260.3396296,13692817.50027104
2023,Algeria,107185655,0.14801724137931035,15865324.968534485,112396503.5554507,16636620.39695766
2024,Algeria,79250335,0.14801724137931035,11730415.965086207,90874340.69504382,13450969.221843986
2022,Andorra,179348,0.17273809523809525,30980.231904761906,165483.65624096978,28585.33157210085
2023,Andorra,80895,0.17273809523809525,13973.648214285715,88496.44341935107,15286.707071604573
2024,Andorra,78356,0.17273809523809525,13535.066190476191,87892.23586082099,15182.337408815627
2022,Angola,28247764,0.18766666666666668,5301163.710666667,28872413.42403258,5418389.585910114
2023,Angola,34573646,0.18766666666666668,6488320.899333334,32973440.18456476,6188015.607969987
2024,Angola,43268226,0.18766666666666668,8120003.746,40363844.77186075,7574948.202185867
2022,Anguilla,84545,0.19337837837837837,16349.175,80883.02412225842,15641.028043101593
2023,Anguilla,66942,0.19337837837837837,12945.135405405405,65640.99939588598,12693.550018312546
2024,Anguilla,106707,0.19337837837837837,20634.82662162162,106766.68586615933,20646.36857763162
2022,Antigua and Barbuda,296691,0.16952830188679244,50297.521415094336,303594.12496510864,51467.796468141525
2023,Antigua and Barbuda,457994,0.16952830188679244,77642.94509433962,427436.9547512709,72462.66110264469
2024,Antigua and Barbuda,283615,0.16952830188679244,48080.76933962264,280565.81233636796,47563.84573287294
