Category,Parameter,Value
Trade Impact,Import Change ($B),-15.4
Trade Impact,Export Change ($B),-2.38
Trade Impact,Import Change (%),-35.0
Trade Impact,Export Change (%),-18.0
Trade Impact,Trade Deficit Improvement ($B),12.8
Price and Consumption,Import Price Increase (%),18.8
Price and Consumption,Additional Spending ($B),8.27
Price and Consumption,Consumption Reduction ($B),6.45
Strategic Goods,Rare Earth Price Increase (%),177.8
Strategic Goods,Lithium Battery Price Increase (%),31.5
Strategic Goods,EV Cost Increase (%),11.02
Macroeconomic,Net Export Change ($B),13.02
Macroeconomic,GDP Direct Impact ($B),6.57
Macroeconomic,GDP Multiplier Impact ($B),5.95
Macroeconomic,Net Employment Change,37710.0
